Index,smiles,complexity,atoms,DelE_red(V),MW
1238,CCOc1cc2nsnc2cc1C(C)C,4,15,1.49,222.0826841
1239,COc1cc(OC(C)C)c(C)c2nsnc12,6,16,1.53,238.0775987
1240,CN1CCOc2c3c(c4nsnc4c21)CCO3,4,17,1.38,249.0571976
1241,CNc1c2c(cc3nsnc13)CC(C)N2C,5,16,1.28,234.0939174
1242,CCc1cc(C)c2nsnc2c1,4,12,1.57,178.0564693
1243,Cc1c2c(cc3nsnc13)N(C)CCN2C,6,16,1.29,234.0939174
1244,CCOc1cc2c(c3nsnc13)OC(CC)C2,4,17,1.65,250.0775987
1245,CCNc1c2c(c(C(C)CC)c3nsnc13)C1CCC2CC1,4,22,1.41,315.1769188
1246,CCCN(CC)c1ccc2nsnc2c1C,5,16,1.53,235.1143185
1247,CCc1c2c(c(CC)c3nsnc13)OCC2,6,16,1.38,234.0826841
1248,CCN(C)c1c(C(C)C)ccc2nsnc12,5,16,1.57,235.1143185
1249,CCCc1c(C)cc2nsnc2c1OCC,6,16,1.57,236.0983341
1250,CCOc1cc(CC)c(C)c2nsnc12,6,15,1.62,222.0826841
1252,CC1CCOc2cc3nsnc3cc21,2,14,1.58,206.0513839
1253,CCN1CCc2cc3nsnc3c(C)c21,5,15,1.3,219.0830184
1254,COc1cc2c(c3nsnc13)N(C)CCC2,5,16,1.45,235.077933
1255,CC1Cc2c(c3c(c4nsnc24)OCCC3)O1,4,17,1.45,248.0619486
1257,CCC1CN(C)c2ccc3nsnc3c21,3,15,1.5,219.0830184
1258,CC(C)c1cc2nsnc2c2c1CCO2,4,15,1.58,220.067034
1259,CCc1cc2nsnc2c2c1OCC(CC)O2,4,17,1.5,250.0775987
1260,CCN(c1c2c(cc3nsnc13)C1CCC2CC1)C(C)C,3,21,1.43,301.1612687
1261,CCCN1CCN(C)c2cc3nsnc3cc21,4,17,1.15,248.1095675
1262,CCCOCCc1c2c(cc3nsnc13)C1CCC2CC1,3,21,1.46,302.1452843
1263,COc1cc(N(C)C(C)C)cc2nsnc12,5,16,1.38,237.0935831
1264,CCC1Oc2ccc3nsnc3c2OC1C,3,16,1.57,236.0619486
1265,CCc1c2c(cc3nsnc13)N(C)CCO2,4,16,1.3,235.077933
1266,CCCOc1c2c(cc3nsnc13)N(C)CCN2C,6,19,1.35,278.1201322
1267,CC1CN(C(C)C)c2cc3nsnc3cc21,3,16,1.32,233.0986685
1268,CCCc1cc(OC)c(NC)c2nsnc12,6,16,1.47,237.0935831
1269,CCc1c(OC)c(NC)c2nsnc2c1C,8,16,1.45,237.0935831
1270,CCc1cc2nsnc2c(N(C)C)c1OC,7,16,1.52,237.0935831
1271,CCCc1cc2nsnc2c2c1OCC2,4,15,1.53,220.067034
1272,CCC(C)Oc1cc(OC)cc2nsnc12,4,16,1.56,238.0775987
1273,CCC(C)c1ccc(C(C)C)c2nsnc12,4,16,1.49,234.1190696
1274,Cc1c2c(c3nsnc3c1C)OCC2C,6,15,1.53,220.067034
1275,Cc1c2c(cc3nsnc13)CCCC2,4,14,1.52,204.0721194
1276,CCc1cc(C)c2nsnc2c1NC,6,14,1.46,207.0830184
1277,CN(C)c1c2c(cc3nsnc13)CCO2,5,15,1.45,221.062283
1278,COc1cc(C)c2nsnc2c1N(C)C,7,15,1.58,223.077933
1279,Cc1ccc(N(C)CC(C)C)c2nsnc12,5,16,1.44,235.1143185
1280,c1c2c(cc3nsnc13)C1CCC2CC1,4,15,1.52,216.0721194
1281,CCCOCCN(C)c1c2c(cc3nsnc13)C1CCC2C1,4,22,1.41,317.1561834
1282,CCC(C)N(C)c1c2c(cc3nsnc13)N(C)CCN2C,7,21,1.24,305.1674167
1283,CCC(C)c1c2c(cc3nsnc13)OC(C)CO2,4,18,1.45,264.0932488
1284,CCN1CCN(C)c2c1cc1nsnc1c2/[NH+]=C(\C)[O-],6,20,1.46,291.1153812
1285,CCOc1cc2nsnc2c(OC)c1OC,6,16,1.55,240.0568632
1286,C1COc2c3c(c4nsnc4c2N1)CCO3,3,16,1.39,235.0415475
1287,CCCNc1c2c(c(CCC)c3nsnc13)C1CCC2CC1,4,22,1.36,315.1769188
1288,CN(C)c1cc2nsnc2c2c1CCCN2,5,16,1.4,234.0939174
1289,CNc1c(N(C)C(C)C)ccc2nsnc12,5,16,1.53,236.1095675
1290,CCc1c2c(cc3nsnc13)N(C)C(C)C2,5,16,1.29,233.0986685
1291,CCOc1c2c(c(CCOC)c3nsnc13)C1CCC2CC1,5,22,1.48,318.1401989
1292,COCCN1CCN(C)c2c1cc1nsnc1c2C(C)C,7,21,1.28,306.1514323
1293,CCC(C)Nc1c2c(cc3nsnc13)CCC2,4,17,1.53,247.1143185
1294,CCN(CC)c1c2c(c(C)c3nsnc13)OCCO2,6,19,1.38,279.1041478
1295,CCN1CCN(CC)c2c1cc1nsnc1c2OC(C)C,6,21,1.25,306.1514323
1296,CC1CCc2ccc3nsnc3c21,2,13,1.58,190.0564693
1297,CCc1ccc(NC)c2nsnc12,4,13,1.47,193.0673684
1298,CCCOc1c(CC)c(C)cc2nsnc12,6,16,1.57,236.0983341
1299,CC(C)OCCNc1c2c(cc3nsnc13)OCCO2,4,20,1.46,295.0990624
1300,CCCCNc1c2c(c(NCC)c3nsnc13)C1CCC2CC1,4,23,1.35,330.1878178
1301,Cc1cc2nsnc2c2c1OCC2C,4,14,1.51,206.0513839
1302,CNc1c2c(cc3nsnc13)CCCN2C,5,16,1.42,234.0939174
1303,CCCc1c2c(c(OC)c3nsnc13)C1CCC2CC1,4,20,1.46,288.1296343
1304,CC1COc2c(cc(C(C)C)c3nsnc23)O1,4,17,1.51,250.0775987
1305,COc1c(C)c2c(c3nsnc13)CCN2C,7,16,1.48,235.077933
1307,CC(C)Cc1c2c(c(N(C)C)c3nsnc13)C1CCC2C1,5,21,1.37,301.1612687
1308,CCN1CN(C)c2c1cc1nsnc1c2CC(C)C,6,19,1.08,276.1408676
1309,CCCc1c(C)c(CC)cc2nsnc12,6,15,1.49,220.1034195
1310,CCNc1c2c(c(N(C)C)c3nsnc13)OCCO2,5,19,1.38,280.0993968
1311,COCCN1CCN(C)c2c1cc1nsnc1c2C,7,19,1.3,278.1201322
1312,CC(C)CN1CCN(C)c2cc3nsnc3c(N(C)C)c21,7,21,1.25,305.1674167
1313,CCCCc1ccc2nsnc2c1C,4,14,1.58,206.0877694
1314,COc1c2c(cc3nsnc13)N(C)C(OC)N2C,8,18,1.27,266.0837467
1315,COc1cc2nsnc2cc1C(C)C,4,14,1.5,208.067034
1316,CCCc1cc2c(c3nsnc13)NCCO2,3,16,1.45,235.077933
1317,CCNc1c(C)c(N(C)C)cc2nsnc12,7,16,1.46,236.1095675
1318,CCCN1CN(C)c2c1c(C)c1nsnc1c2OC,8,19,1.19,278.1201322
1319,C1Cc2c(c3c(c4nsnc24)OCC3)O1,4,15,1.54,220.0306485
1320,CC1COc2c(c3c(c4nsnc24)CCO3)O1,4,17,1.45,250.0412132
1321,COc1c2c(c(NCC(C)C)c3nsnc13)C1CCC2CC1,4,22,1.45,317.1561834
1322,COc1c2c(c(OC)c3nsnc13)C1CCC2C1,4,18,1.52,262.0775987
1323,CCOc1c2c(c(OC)c3nsnc13)OC(C)CO2,6,19,1.57,282.0674279
1324,Cc1ccc(OCC(C)C)c2nsnc12,4,15,1.55,222.0826841
1325,CNc1c(C)cc(N(C)C)c2nsnc12,7,15,1.48,222.0939174
1326,CCOc1c(OCC(C)C)ccc2nsnc12,4,17,1.69,252.0932488
1327,CCOc1ccc2nsnc2c1CC(C)C,4,16,1.55,236.0983341
1328,CCc1c(OC)c(OC)cc2nsnc12,6,15,1.46,224.0619486
1329,CCc1c2c(cc3nsnc13)N(C)CC2,5,15,1.29,219.0830184
1330,CNc1cc(OC)c(C(C)C)c2nsnc12,6,16,1.36,237.0935831
1331,COc1c(C(C)C)cc(C)c2nsnc12,6,15,1.69,222.0826841
1332,CCC(C)N1CCc2ccc3nsnc3c21,3,16,1.45,233.0986685
1333,CCc1c2c(c(OC)c3nsnc13)CCO2,6,16,1.46,236.0619486
1334,CCC(C)c1c2c(cc3nsnc13)C1CCC2C1,2,18,1.39,258.1190696
1335,CCCNc1c(C)c(OC)cc2nsnc12,6,16,1.39,237.0935831
1336,CN1CCNc2c1ccc1nsnc21,2,14,1.44,206.0626173
1337,CCOc1c2c(c(NC)c3nsnc13)N(C)CCN2C,8,20,1.34,293.1310312
1338,COCCc1cc2nsnc2c2c1CCC2,5,16,1.55,234.0826841
1339,CNc1c(OC)c(C)c(OC)c2nsnc12,8,16,1.52,239.0728477
1340,CCc1c(C)cc2nsnc2c1N(C)C,7,15,1.53,221.0986685
1341,CCc1cc2nsnc2c(C)c1N(C)C,7,15,1.53,221.0986685
1342,CCCOc1cc(CC)cc2nsnc12,4,15,1.61,222.0826841
1343,CCCN1CCN(C)c2c1c(NC)c1nsnc1c2C,8,20,1.38,291.1517667
1344,COc1cc2c(c3nsnc13)CCCO2,4,15,1.46,222.0462986
1345,Cc1ccc2nsnc2c1OCC(C)C,4,15,1.53,222.0826841
1346,Cc1cc2c(c3nsnc13)CC(C)CO2,4,15,1.47,220.067034
1347,CCCCOCCc1c2c(cc3nsnc13)C1CCC2C1,3,21,1.42,302.1452843
1348,CCC(C)OCCc1c2c(cc3nsnc13)C1CCC2CC1,3,22,1.49,316.1609344
1349,C1Cc2c3c(c4nsnc4c2N1)OCCO3,3,16,1.47,235.0415475
1350,CCCC1COc2cc(C)c3nsnc3c2O1,4,17,1.52,250.0775987
1351,COc1cc2nsnc2c2c1CCOC2,5,15,1.52,222.0462986
1352,CCCc1c2c(cc3nsnc13)N(CC(C)C)CN2C,6,20,1.02,290.1565177
1353,COc1cc(N(C)C(C)C)c2nsnc2c1,5,16,1.44,237.0935831
1354,COc1c(C)cc(NC(C)C)c2nsnc12,6,16,1.49,237.0935831
1355,CC1Oc2cc3nsnc3cc2C1C,2,14,1.52,206.0513839
1356,Cc1cc2nsnc2c2c1OCC2,4,13,1.52,192.0357339
1357,CCCc1c2c(cc3nsnc13)OC(C)C2,4,16,1.44,234.0826841
1358,CCC1Cc2cc3nsnc3cc2CCO1,3,16,1.62,234.0826841
1359,CCN(C)c1c(OC)c(C)cc2nsnc12,7,16,1.47,237.0935831
1360,CCCOc1c2c(cc3nsnc13)OCC2C,4,17,1.52,250.0775987
1361,CCOCCc1c2c(cc3nsnc13)N(C)CCN2C,7,20,1.32,292.1357823
1362,CCOc1cc(C(C)CC)c2nsnc2c1,4,16,1.55,236.0983341
1363,CC(C)Cc1c2c(c(N(C)C)c3nsnc13)C1CCC2CC1,5,22,1.36,315.1769188
1364,CCOc1ccc2nsnc2c1NC(C)C,4,16,1.49,237.0935831
1365,CCN(C)c1cc(C(C)C)c2nsnc2c1,5,16,1.36,235.1143185
1366,CCCOc1ccc(CC)c2nsnc12,4,15,1.64,222.0826841
1367,CCCCc1c2c(c(CC)c3nsnc13)N(C)CCN2C,8,21,1.32,304.1721678
1368,CCCc1c2c(cc3nsnc13)N(CC)CN2C,6,18,1.08,262.1252176
1369,CC(C)Cc1c(C(C)C)ccc2nsnc12,4,16,1.53,234.1190696
1370,CCC(C)Nc1cc(C)c(C)c2nsnc12,6,16,1.41,235.1143185
1371,COCCc1cccc2nsnc12,3,13,1.65,194.0513839
1372,CCN1c2cc3nsnc3cc2CC1C,3,15,1.32,219.0830184
1373,CCC(C)c1c2c(c(NC)c3nsnc13)C1CCC2CC1,4,21,1.36,301.1612687
1374,CCc1c2c(cc3nsnc13)CCO2,4,14,1.45,206.0513839
1375,Cc1cc2c(c3nsnc13)CCCCN2C,5,16,1.45,233.0986685
1376,CCCc1cc2nsnc2cc1CCOC,5,16,1.57,236.0983341
1377,CCOc1c2c(c(C)c3nsnc13)OCC(CC)O2,6,19,1.48,280.0881634
1378,COc1c2c(c(CCN(C)C)c3nsnc13)C1CCC2CC1,6,22,1.49,317.1561834
1379,CCCCN(c1c2c(cc3nsnc13)C1CCC2CC1)C(C)C,3,23,1.43,329.1925689
1380,CCc1cc2c(c3nsnc13)OCCC2,4,15,1.5,220.067034
