Index,smiles,complexity,atoms,DelE_red(V),MW,btz,scaffold1,scaffold2,scaffold3,scaffold4,scaffold5
849,CCCCc1c(C)c(OC)cc2nsnc12,6,16,1.41,236.0983341,1,0,0,0,0,0
850,CC(C)Oc1c2c(cc3nsnc13)C1CCC2C1,2,18,1.48,260.0983341,1,0,0,0,1,0
852,CCOc1c(C)c2c(c3nsnc13)CCO2,6,16,1.52,236.0619486,1,0,0,0,0,0
853,CCCc1c(C)c(NC)c2nsnc2c1C,8,16,1.41,235.1143185,1,0,0,0,0,0
854,CCN1CCN(C)c2c1c(C)c1nsnc1c2C,8,18,1.3,262.1252176,1,0,1,0,0,0
855,CNc1c2c(cc3nsnc13)CCCO2,4,15,1.47,221.062283,1,0,0,0,0,0
856,CC(C)C1C([O-])=[N+](C)c2c1ccc1nsnc21,3,17,1.79,247.077933,1,0,0,0,0,0
857,COCCOc1c2c(cc3nsnc13)C1CCC2CC1,3,20,1.45,290.1088988,1,0,0,0,0,1
858,CCc1c2c(c(/[NH+]=C(\C)[O-])c3nsnc13)C1CCC2C1,4,20,1.56,287.1092332,1,0,0,0,1,0
859,CC/C([O-])=[NH+]\c1c2c(c(C)c3nsnc13)N(C)CCN2C,8,21,1.47,305.1310312,1,0,1,0,0,0
860,CCc1cc2nsnc2c(C)c1N(C)C,7,15,1.54,221.0986685,1,0,0,0,0,0
861,CCc1cc2nsnc2c2c1C(C)C(C)O2,4,16,1.58,234.0826841,1,0,0,0,0,0
862,CCOc1ccc2nsnc2c1C,4,13,1.55,194.0513839,1,0,0,0,0,0
863,CN(C)c1cc2c(c3nsnc13)N(C)CC2,6,16,1.5,234.0939174,1,0,0,0,0,0
864,CC(C)COc1c2c(cc3nsnc13)CCO2,4,17,1.53,250.0775987,1,0,0,0,0,0
865,CCOC1COc2cc3nsnc3c(C)c21,5,16,1.5,236.0619486,1,0,0,0,0,0
866,CCc1c2c(cc3nsnc13)OCC2C,4,15,1.46,220.067034,1,0,0,0,0,0
867,CCC(C)Oc1cc2c(c3nsnc13)CCC2,4,17,1.45,248.0983341,1,0,0,0,0,0
868,CC(C)N1CCN(C)c2ccc3nsnc3c21,3,17,1.32,248.1095675,1,0,0,0,0,0
869,Cc1cc2c(c3nsnc13)NCC2,4,13,1.5,191.0517183,1,0,0,0,0,0
870,CCN(c1cc(C)c2nsnc2c1)C(C)C,5,16,1.28,235.1143185,1,0,0,0,0,0
872,CNc1cc2c(c3nsnc13)OC(C)C2C,4,16,1.58,235.077933,1,0,0,0,0,0
873,CCCc1ccc2nsnc2c1N(C)CC,5,16,1.57,235.1143185,1,0,0,0,0,0
874,CCCCOc1c2c(c(OCC)c3nsnc13)C1CCC2C1,4,22,1.5,318.1401989,1,0,0,0,1,0
875,CCCCOCCc1cccc2nsnc12,3,16,1.65,236.0983341,1,0,0,0,0,0
876,CCN(C)c1c(N(C)C)ccc2nsnc12,6,16,1.45,236.1095675,1,0,0,0,0,0
877,CCN(C)c1c2c(cc3nsnc13)OCC(C)O2,5,18,1.44,265.0884977,1,0,0,1,0,0
878,CCOc1c2c(c(C)c3nsnc13)N(CC)CCN2C,8,20,1.29,292.1357823,1,0,1,0,0,0
879,Cc1ccc2nsnc2c1C(C)C,4,13,1.55,192.0721194,1,0,0,0,0,0
880,CCCOc1c(C)cc2nsnc2c1OC,6,16,1.63,238.0775987,1,0,0,0,0,0
881,CCOc1c(C)cc2nsnc2c1OC,6,15,1.62,224.0619486,1,0,0,0,0,0
882,CCOc1cc2nsnc2c2c1OCC2,4,15,1.43,222.0462986,1,0,0,0,0,0
883,Cc1cc2nsnc2cc1C(C)C,4,13,1.58,192.0721194,1,0,0,0,0,0
884,Cc1cc2nsnc2c2c1CCCCO2,4,15,1.44,220.067034,1,0,0,0,0,0
885,CC1CCc2cc(N(C)C)c3nsnc3c21,5,16,1.35,233.0986685,1,0,0,0,0,0
886,CCc1c(OC)c(C)cc2nsnc12,6,14,1.55,208.067034,1,0,0,0,0,0
887,CCC(C)OCCc1c2c(cc3nsnc13)OCCO2,4,20,1.53,294.1038134,1,0,0,1,0,0
888,CCC(C)Oc1c2c(cc3nsnc13)OCC2,4,17,1.52,250.0775987,1,0,0,0,0,0
889,CCc1cc(C)c2nsnc2c1/[NH+]=C(\C)[O-],6,16,1.66,235.077933,1,0,0,0,0,0
890,CCCCN1CN(C(C)C)c2cc3nsnc3c(C)c21,6,20,1.06,290.1565177,1,1,0,0,0,0
891,CCCNc1ccc(OCCC)c2nsnc12,4,17,1.49,251.1092332,1,0,0,0,0,0
892,CCCCOc1c2c(cc3nsnc13)N(CC)CN2C,6,20,1.04,292.1357823,1,1,0,0,0,0
893,CCNc1cc(OC)c(NC)c2nsnc12,6,16,1.39,238.0888321,1,0,0,0,0,0
894,CCCN1CCN(CCC)c2c1cc1nsnc1c2OC,6,21,1.13,306.1514323,1,0,1,0,0,0
895,COCC/C([O-])=[NH+]\c1c2c(c(C)c3nsnc13)C1CCC2C1,5,22,1.63,317.1197978,1,0,0,0,1,0
896,CCc1ccc(OC)c2nsnc12,4,13,1.55,194.0513839,1,0,0,0,0,0
897,CC(C)CNc1c(C(C)C)ccc2nsnc12,4,17,1.7,249.1299686,1,0,0,0,0,0
898,Cc1cc2c(c3nsnc13)[NH+]=C([O-])CC2(C)C,4,17,1.71,247.077933,1,0,0,0,0,0
899,CCc1cc2nsnc2c2c1CC(C)N2,4,15,1.5,219.0830184,1,0,0,0,0,0
900,CCC(C)/C([O-])=[NH+]\c1c2c(cc3nsnc13)OCCO2,3,20,1.66,293.0834123,1,0,0,1,0,0
901,CCC(C)Oc1cc2nsnc2cc1OC,4,16,1.42,238.0775987,1,0,0,0,0,0
902,CCc1c(C)cc2nsnc2c1C,6,13,1.5,192.0721194,1,0,0,0,0,0
903,CC1CNc2c1c1c(c3nsnc23)CCC1,4,16,1.48,231.0830184,1,0,0,0,0,0
904,Cc1cc2nsnc2c(C)c1N(C)C,7,14,1.51,207.0830184,1,0,0,0,0,0
905,COc1cc2nsnc2c2c1OCC2OC,5,16,1.5,238.0412132,1,0,0,0,0,0
906,CCCN(C)c1c2c(c(C(C)C)c3nsnc13)C1CCC2C1,5,22,1.32,315.1769188,1,0,0,0,1,0
907,COc1c2c(c(OC)c3nsnc13)CCC2,6,16,1.57,236.0619486,1,0,0,0,0,0
908,CC/[N+](=C(/C)[O-])c1c2c(c(NC)c3nsnc13)C1CCC2C1,5,22,1.54,316.1357823,1,0,0,0,1,0
909,Cc1cc2nsnc2c2c1OCC(C)C2,4,15,1.4,220.067034,1,0,0,0,0,0
911,CCCN1CCOc2c1ccc1nsnc21,2,16,1.44,235.077933,1,0,0,0,0,0
912,c1c2c(cc3nsnc13)OCCCC2,2,14,1.62,206.0513839,1,0,0,0,0,0
913,CCCCc1cc(OC(C)C)c2nsnc2c1,4,17,1.6,250.1139842,1,0,0,0,0,0
914,CCC1CN(C(C)C)c2cc3nsnc3cc21,3,17,1.42,247.1143185,1,0,0,0,0,0
915,CC/[N+](=C(/C)[O-])c1c2c(c(C)c3nsnc13)C1CCC2CC1,5,22,1.59,315.1405333,1,0,0,0,0,1
916,CCCc1c2c(cc3nsnc13)CC(CC)O2,4,17,1.39,248.0983341,1,0,0,0,0,0
917,CCCCc1c2c(cc3nsnc13)OCC2C,4,17,1.4,248.0983341,1,0,0,0,0,0
918,CCCOCCNc1c2c(cc3nsnc13)C1CCC2C1,3,21,1.38,303.1405333,1,0,0,0,1,0
919,CCC(C)c1c2c(cc3nsnc13)N(CC)CN2CC,6,20,1.16,290.1565177,1,1,0,0,0,0
920,COCCN1CCN(C(C)C)c2cc3nsnc3c(C)c21,7,21,1.23,306.1514323,1,0,1,0,0,0
921,CCc1c2c(c(OC)c3nsnc13)OCC2,6,16,1.47,236.0619486,1,0,0,0,0,0
922,Cc1ccc(CCN(C)C)c2nsnc12,6,15,1.59,221.0986685,1,0,0,0,0,0
923,CCOCC/C([O-])=[NH+]\c1cccc2nsnc12,3,17,1.82,251.0728477,1,0,0,0,0,0
924,Cc1cc2nsnc2c2c1C(C)CC([O-])=[NH+]2,4,16,1.69,233.062283,1,0,0,0,0,0
925,CCC(C)Oc1cc(C(C)C)cc2nsnc12,4,17,1.63,250.1139842,1,0,0,0,0,0
926,CCc1c2c(cc3nsnc13)C(C)(C)CO2,4,16,1.46,234.0826841,1,0,0,0,0,0
927,C/C([O-])=[N+](/C)c1c2c(cc3nsnc13)C1CCC2CC1,3,20,1.66,287.1092332,1,0,0,0,0,1
928,CCC(C)c1c2c(c(C(C)C)c3nsnc13)C1CCC2CC1,4,22,1.35,314.1816698,1,0,0,0,0,1
929,CCCCc1ccc2nsnc2c1OCCC,4,17,1.66,250.1139842,1,0,0,0,0,0
930,CN(C)CCc1c2c(cc3nsnc13)N(C)CN2C,8,19,1.18,277.1361166,1,1,0,0,0,0
931,CCCOc1c2c(c(N(C)C)c3nsnc13)C1CCC2CC1,5,22,1.48,317.1561834,1,0,0,0,0,1
932,COc1c2c(c3nsnc3c1C)C(C)CO2,6,16,1.48,236.0619486,1,0,0,0,0,0
933,Cc1c2c(cc3nsnc13)N(C)CC2C,5,15,1.29,219.0830184,1,0,0,0,0,0
934,Cc1c2c(c(NC(C)C)c3nsnc13)C1CCC2CC1,4,20,1.4,287.1456187,1,0,0,0,0,1
935,Cc1cc2nsnc2c2c1N(C)CCC2C,5,16,1.42,233.0986685,1,0,0,0,0,0
